"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 11 09:26:12 CST 2022","Fri Nov 11 09:26:41 CST 2022","28377","testcase","test_affiliatePage","TestAffiliatePage","","","test_affiliate",""
"passed","Fri Nov 11 09:32:03 CST 2022","Fri Nov 11 09:32:25 CST 2022","21187","testcase","test_walletPage","TestWalletPage","","","test_wallet",""
"passed","Fri Nov 11 09:28:24 CST 2022","Fri Nov 11 09:28:31 CST 2022","7035","testcase","test_loginPage","TestLogin","","","test_login_use_google",""
"passed","Fri Nov 11 09:28:51 CST 2022","Fri Nov 11 09:28:58 CST 2022","6447","testcase","test_loginPage","TestLogin","","","test_login_use_facebook",""
"passed","Fri Nov 11 09:27:02 CST 2022","Fri Nov 11 09:27:14 CST 2022","12508","testcase","test_analyticsPage","TestAnalyticsPage","","","test_analytics",""
"broken","Fri Nov 11 09:29:17 CST 2022","Fri Nov 11 09:29:33 CST 2022","15798","testcase","test_logoutPage","TestLogoutPage","","","test_logout",""
"passed","Fri Nov 11 09:27:32 CST 2022","Fri Nov 11 09:27:40 CST 2022","7998","testcase","test_loginPage","TestLogin","","","test_login_use_phone",""
"passed","Fri Nov 11 09:28:01 CST 2022","Fri Nov 11 09:28:06 CST 2022","5596","testcase","test_loginPage","TestLogin","","","test_login_use_email",""
"passed","Fri Nov 11 09:29:54 CST 2022","Fri Nov 11 09:30:12 CST 2022","17752","testcase","test_mypage","TestMyPage","","","test_mypage",""
"passed","Fri Nov 11 09:31:23 CST 2022","Fri Nov 11 09:31:44 CST 2022","21318","testcase","test_signupPage","TestSignup","","","test_signup",""
"passed","Fri Nov 11 09:30:33 CST 2022","Fri Nov 11 09:31:02 CST 2022","28782","testcase","test_settingsPage","TestSettingsPage","","","test_settings",""
